id,airport_name,country,city,code
2601,Lavan Airport,IR,Lavan Airport,LVP
2602,Shahid Ashrafi Esfahani Airport,IR,Kermanshah,KSH
2603,Ilam Airport,IR,Ilam,IIL
2604,Kashan Airport,IR,Kashan,KKS
2605,Isfahan Shahid Beheshti International Airport,IR,Isfahan,IFN
2606,Shahrekord Airport,IR,Shahrekord,CQD
2607,Sardar-e-Jangal Airport,IR,Rasht,RAS
2608,Hamadan Airport,IR,Hamadan,HDM
2609,Nojeh Air Base,IR,Amirabad,NUJ
2610,Imam Khomeini International Airport,IR,Tehran,IKA
2611,Mehrabad International Airport,IR,Tehran,THR
2612,Qazvin Airport,IR,Qazvin,GZW
2613,Payam Karaj International Airport,IR,Karaj,PYK
2614,Bandar Abbas International Airport,IR,Bandar Abbas,BND
2615,Jiroft Airport,IR,Jiroft,JYR
2616,Ayatollah Hashemi Rafsanjani International Airport,IR,Kerman,KER
2617,Bam Airport,IR,Bam,BXR
2618,Rafsanjan Airport,IR,Rafsanjan,RJN
2619,Sirjan Airport,IR,Sirjan,SYJ
2620,Birjand International Airport,IR,Birjand,XBJ
2621,Sarakhs Airport,IR,Sarakhs,CKT
2622,Mashhad International Airport,IR,Mashhad,MHD
2623,Bojnord Airport,IR,Bojnord,BJB
2624,Sabzevar National Airport,IR,Sabzevar,AFZ
2625,Tabas Airport,IR,Tabas,TCX
2626,Gorgan Airport,IR,Gorgan,GBT
2627,Nowshahr Airport,IR,Nowshahr,NSH
2628,Ramsar Airport,IR,Ramsar,RZR
2629,Sari Dasht-e Naz International Airport,IR,Sari,SRY
2630,Fasa Airport,IR,Fasa,FAZ
2631,Lar Airport,IR,Lar,LRR
2632,Lamerd Airport,IR,Lamerd,LFM
2633,Shiraz Shahid Dastghaib International Airport,IR,Shiraz,SYZ
2634,Yasuj Airport,IR,Yasuj,YES
2635,Ardabil Airport,IR,Ardabil,ADU
2636,Urmia Airport,IR,Urmia,OMH
2637,Tabriz International Airport,IR,Tabriz,TBZ
2638,Maku National Airport,IR,Showt,IMQ
2639,Zanjan Airport,IR,Zanjan,JWN
2640,Shahid Sadooghi Airport,IR,Yazd,AZD
2641,Zabol Airport,IR,Zabol,ACZ
2642,Chabahar Konarak International Airport,IR,Konarak,ZBR
2643,Zahedan International Airport,IR,Zahedan,ZAH
2644,Iranshahr Airport,IR,Iranshahr,IHR
2645,Queen Alia International Airport,JO,Amman,AMM
2646,Amman Civil (Marka International) Airport,JO,Amman,ADJ
2647,Aqaba King Hussein International Airport,JO,Aqaba,AQJ
2648,Ahmed Al Jaber Air Base,KW,Ahmed Al Jaber AB,XIJ
